name p N_3sided 0 1 2 3 4 5 6 7 8 9 10
Cu_01Cr_01Zr/pass1 0.765 23 0.043 0.0 0.0 0.043 0.043 0.087 0.0 0.087 0.043 0.478 0.174
Cu_01Cr_01Zr/pass4 0.594 107 0.131 0.009 0.019 0.009 0.0 0.28 0.0 0.14 0.121 0.262 0.028
Cu_01Cr_01Zr/pass8 0.962 43 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.279 0.721
Cu_01Cr_01Zr_005Y/pass4 0.806 15 0.0 0.0 0.0 0.0 0.0 0.067 0.067 0.067 0.133 0.333 0.333
Cu_01Cr_01Zr_005Y/pass8 0.826 2 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.5 0.0
Cu_03Cr_05Zr/pass1 0.917 3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.333 0.333 0.333
Cu_03Cr_05Zr/pass4 0.957 60 0.0 0.0 0.0 0.0 0.0 0.017 0.0 0.017 0.0 0.183 0.783
Cu_Mg/pass1 0.708 15 0.0 0.067 0.0 0.0 0.0 0.067 0.067 0.2 0.133 0.467 0.0
Cu_Mg/pass2 0.717 12 0.0 0.083 0.083 0.0 0.0 0.25 0.083 0.083 0.083 0.333 0.0
Cu_Mg/pass4 0.862 75 0.0 0.0 0.0 0.0 0.0 0.04 0.027 0.027 0.067 0.36 0.48
Cu_Mg/pass8 0.913 31 0.0 0.0 0.0 0.0 0.0 0.065 0.032 0.0 0.0 0.355 0.548
