alloy,processing_type,processing_stage,number_of_cells,neighbor_order,number_of_disangles,p,H
Cu_01Cr_01Zr,ECAP,1,992,1,2858,0.235,0.319
Cu_01Cr_01Zr,ECAP,1,992,2,6598,0.18,0.256
Cu_01Cr_01Zr,ECAP,1,992,3,11163,0.143,0.222
Cu_01Cr_01Zr,ECAP,1,992,4,15992,0.132,0.204
Cu_01Cr_01Zr,ECAP,1,992,5,20647,0.112,0.183
Cu_01Cr_01Zr,ECAP,1,992,6,24713,0.107,0.174
Cu_01Cr_01Zr,ECAP,1,992,7,27827,0.098,0.163
Cu_01Cr_01Zr,ECAP,1,992,8,30327,0.092,0.156
Cu_01Cr_01Zr,ECAP,1,992,9,32517,0.086,0.147
Cu_01Cr_01Zr,ECAP,1,992,10,34096,0.084,0.139
Cu_01Cr_01Zr,ECAP,1,992,11,34645,0.08,0.135
Cu_01Cr_01Zr,ECAP,1,992,12,34681,0.079,0.132
Cu_01Cr_01Zr,ECAP,1,992,13,34101,0.071,0.125
Cu_01Cr_01Zr,ECAP,1,992,14,32527,0.069,0.122
Cu_01Cr_01Zr,ECAP,1,992,15,30160,0.064,0.117
Cu_01Cr_01Zr,ECAP,1,992,16,27102,0.06,0.116
Cu_01Cr_01Zr,ECAP,1,992,17,23138,0.059,0.12
Cu_01Cr_01Zr,ECAP,1,992,18,18787,0.062,0.123
Cu_01Cr_01Zr,ECAP,1,992,19,14669,0.066,0.133
Cu_01Cr_01Zr,ECAP,1,992,20,11115,0.074,0.147
Cu_01Cr_01Zr,ECAP,4,10283,1,30537,0.406,0.434
Cu_01Cr_01Zr,ECAP,4,10283,2,69582,0.283,0.334
Cu_01Cr_01Zr,ECAP,4,10283,3,119255,0.2,0.259
Cu_01Cr_01Zr,ECAP,4,10283,4,177434,0.155,0.212
Cu_01Cr_01Zr,ECAP,4,10283,5,242649,0.122,0.177
Cu_01Cr_01Zr,ECAP,4,10283,6,313747,0.102,0.154
Cu_01Cr_01Zr,ECAP,4,10283,7,388590,0.089,0.135
Cu_01Cr_01Zr,ECAP,4,10283,8,465535,0.079,0.12
Cu_01Cr_01Zr,ECAP,4,10283,9,543272,0.074,0.11
Cu_01Cr_01Zr,ECAP,4,10283,10,621890,0.07,0.105
Cu_01Cr_01Zr,ECAP,4,10283,11,699679,0.065,0.098
Cu_01Cr_01Zr,ECAP,4,10283,12,777023,0.062,0.091
Cu_01Cr_01Zr,ECAP,4,10283,13,853020,0.058,0.084
Cu_01Cr_01Zr,ECAP,4,10283,14,923821,0.055,0.077
Cu_01Cr_01Zr,ECAP,4,10283,15,988978,0.051,0.069
Cu_01Cr_01Zr,ECAP,4,10283,16,1049559,0.048,0.062
Cu_01Cr_01Zr,ECAP,4,10283,17,1106006,0.045,0.057
Cu_01Cr_01Zr,ECAP,4,10283,18,1157666,0.044,0.053
Cu_01Cr_01Zr,ECAP,4,10283,19,1204598,0.042,0.049
Cu_01Cr_01Zr,ECAP,4,10283,20,1247803,0.041,0.046
Cu_01Cr_01Zr,ECAP,8,3932,1,11579,0.038,0.065
Cu_01Cr_01Zr,ECAP,8,3932,2,26026,0.034,0.036
Cu_01Cr_01Zr,ECAP,8,3932,3,43310,0.03,0.026
Cu_01Cr_01Zr,ECAP,8,3932,4,61734,0.028,0.023
Cu_01Cr_01Zr,ECAP,8,3932,5,80651,0.027,0.021
Cu_01Cr_01Zr,ECAP,8,3932,6,99614,0.027,0.018
Cu_01Cr_01Zr,ECAP,8,3932,7,117878,0.026,0.019
Cu_01Cr_01Zr,ECAP,8,3932,8,135354,0.026,0.017
Cu_01Cr_01Zr,ECAP,8,3932,9,152160,0.026,0.017
Cu_01Cr_01Zr,ECAP,8,3932,10,167818,0.026,0.017
Cu_01Cr_01Zr,ECAP,8,3932,11,182108,0.026,0.019
Cu_01Cr_01Zr,ECAP,8,3932,12,195157,0.026,0.018
Cu_01Cr_01Zr,ECAP,8,3932,13,206869,0.025,0.018
Cu_01Cr_01Zr,ECAP,8,3932,14,217982,0.025,0.016
Cu_01Cr_01Zr,ECAP,8,3932,15,227279,0.025,0.018
Cu_01Cr_01Zr,ECAP,8,3932,16,235143,0.025,0.018
Cu_01Cr_01Zr,ECAP,8,3932,17,241868,0.026,0.017
Cu_01Cr_01Zr,ECAP,8,3932,18,247645,0.025,0.017
Cu_01Cr_01Zr,ECAP,8,3932,19,252254,0.026,0.019
Cu_01Cr_01Zr,ECAP,8,3932,20,255512,0.026,0.018
Random,ECAP,1,992,1,2858,0.022,0.063
Random,ECAP,1,992,2,6598,0.02,0.051
Random,ECAP,1,992,3,11163,0.019,0.053
Random,ECAP,1,992,4,15992,0.021,0.054
Random,ECAP,1,992,5,20647,0.018,0.054
Random,ECAP,1,992,6,24713,0.02,0.053
Random,ECAP,1,992,7,27827,0.019,0.054
Random,ECAP,1,992,8,30327,0.019,0.052
Random,ECAP,4,10283,1,30537,0.023,0.0
Random,ECAP,4,10283,2,69582,0.024,0.012
Random,ECAP,4,10283,3,119255,0.022,0.013
Random,ECAP,4,10283,4,177434,0.023,0.011
Random,ECAP,4,10283,5,242649,0.022,0.011
Random,ECAP,4,10283,6,313747,0.023,0.012
Random,ECAP,4,10283,7,388590,0.022,0.011
Random,ECAP,4,10283,8,465535,0.023,0.011
Random,ECAP,8,3932,1,11579,0.024,0.025
Random,ECAP,8,3932,2,26026,0.022,0.021
Random,ECAP,8,3932,3,43310,0.021,0.017
Random,ECAP,8,3932,4,61734,0.022,0.017
Random,ECAP,8,3932,5,80651,0.021,0.016
Random,ECAP,8,3932,6,99614,0.022,0.016
Random,ECAP,8,3932,7,117878,0.022,0.017
Random,ECAP,8,3932,8,135354,0.021,0.015
Cu_01Cr_01Zr_005Y,ECAP,1,47,1,120,0.108,0.264
Cu_01Cr_01Zr_005Y,ECAP,1,47,2,230,0.083,0.177
Cu_01Cr_01Zr_005Y,ECAP,1,47,3,262,0.076,0.169
Cu_01Cr_01Zr_005Y,ECAP,1,47,4,225,0.049,0.126
