new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
1,0.00063,0.13669,0.07621,0.06656,0.50682,0.35042,0.71070
2,0.00126,0.13616,0.07616,0.06651,0.50648,0.35085,0.71089
3,0.00189,0.02039,0.07577,0.06647,0.50648,0.35128,0.71130
4,0.00252,0.04842,0.07575,0.06645,0.50631,0.35150,0.71143
5,0.00315,0.06515,0.07570,0.06607,0.50664,0.35159,0.71161
6,0.00378,0.01839,0.07565,0.06603,0.50630,0.35202,0.71180
7,0.00441,0.05906,0.07560,0.06598,0.50597,0.35245,0.71199
8,0.00503,0.04610,0.07522,0.06594,0.50596,0.35288,0.71239
9,0.00566,0.01660,0.07517,0.06589,0.50497,0.35397,0.71280
10,0.00628,-1.00000,0.07512,0.06585,0.50397,0.35506,0.71320
11,0.00691,0.02067,0.07474,0.06581,0.50397,0.35549,0.71360
12,0.00753,0.02930,0.07469,0.06576,0.50297,0.35658,0.71401
13,0.00815,0.02314,0.07464,0.06572,0.50198,0.35766,0.71441
14,0.00877,0.03020,0.07459,0.06568,0.50165,0.35809,0.71459
15,0.00939,0.03624,0.07454,0.06530,0.50132,0.35884,0.71500
16,0.01001,0.00879,0.07449,0.06526,0.50033,0.35992,0.71540
17,0.01063,0.02551,0.07444,0.06522,0.50000,0.36034,0.71558
18,0.01125,0.02093,0.07439,0.06517,0.49967,0.36076,0.71576
19,0.01187,0.00757,0.07434,0.06513,0.49934,0.36118,0.71595
20,0.01248,0.01295,0.07429,0.06509,0.49901,0.36160,0.71613
21,0.01310,0.01777,0.07424,0.06472,0.49869,0.36235,0.71653
22,0.01372,0.00620,0.07420,0.06467,0.49770,0.36343,0.71693
23,0.01433,0.01058,0.07417,0.06465,0.49754,0.36364,0.71705
24,0.01494,0.02204,0.07412,0.06461,0.49721,0.36405,0.71723
25,0.01556,0.03255,0.07375,0.06457,0.49721,0.36447,0.71763
26,0.01617,0.03548,0.07370,0.06453,0.49689,0.36489,0.71781
27,0.01678,0.05094,0.07367,0.06451,0.49673,0.36509,0.71793
28,0.01739,0.05293,0.07363,0.06414,0.49640,0.36584,0.71833
29,0.01800,0.03656,0.07358,0.06409,0.49542,0.36691,0.71872
30,0.01861,0.03882,0.07353,0.06405,0.49510,0.36732,0.71890
31,0.01922,0.02386,0.07348,0.06401,0.49477,0.36773,0.71908
32,0.01983,0.03180,0.07343,0.06397,0.49445,0.36815,0.71926
33,0.02043,0.03389,0.07339,0.06393,0.49348,0.36921,0.71966
34,0.02104,0.03064,0.07334,0.06389,0.49316,0.36962,0.71984
35,0.02165,0.02754,0.07329,0.06384,0.49283,0.37003,0.72002
36,0.02225,0.04419,0.07324,0.06380,0.49186,0.37109,0.72041
37,0.02285,0.04561,0.07319,0.06376,0.49154,0.37150,0.72059
38,0.02346,0.04692,0.07315,0.06372,0.49122,0.37191,0.72077
39,0.02406,0.03455,0.07277,0.06368,0.49123,0.37232,0.72116
40,0.02466,0.03601,0.07273,0.06364,0.49091,0.37273,0.72134
41,0.02526,0.03306,0.07268,0.06360,0.49059,0.37313,0.72151
42,0.02586,0.03444,0.07263,0.06323,0.49027,0.37387,0.72190
43,0.02646,0.03986,0.07259,0.06319,0.48995,0.37427,0.72208
44,0.02706,0.04500,0.07254,0.06315,0.48964,0.37468,0.72226
45,0.02766,0.04990,0.07249,0.06311,0.48932,0.37508,0.72243
46,0.02826,0.04299,0.07245,0.06274,0.48836,0.37646,0.72303
47,0.02885,0.04768,0.07240,0.06270,0.48804,0.37686,0.72321
48,0.02945,0.04846,0.07235,0.06266,0.48708,0.37791,0.72360
49,0.03004,0.04898,0.07233,0.06264,0.48692,0.37811,0.72371
50,0.03064,0.05321,0.07228,0.06260,0.48661,0.37851,0.72389
51,0.03123,0.05377,0.07223,0.06256,0.48565,0.37955,0.72428
52,0.03182,0.04743,0.07219,0.06252,0.48534,0.37995,0.72445
53,0.03242,0.04803,0.07182,0.06248,0.48470,0.38100,0.72505
54,0.03301,0.04198,0.07177,0.06244,0.48375,0.38204,0.72543
55,0.03360,0.03938,0.07173,0.06240,0.48344,0.38244,0.72561
56,0.03419,0.04322,0.07168,0.06236,0.48312,0.38284,0.72578
57,0.03478,0.04984,0.07166,0.06234,0.48297,0.38303,0.72589
58,0.03537,0.05623,0.07164,0.06232,0.48281,0.38323,0.72601
59,0.03595,0.05954,0.07159,0.06228,0.48250,0.38363,0.72618
60,0.03654,0.05975,0.07154,0.06224,0.48155,0.38466,0.72657
61,0.03713,0.06580,0.07118,0.06220,0.48156,0.38506,0.72695
62,0.03771,0.06587,0.07113,0.06216,0.48062,0.38609,0.72733
63,0.03830,0.06592,0.07109,0.06212,0.48031,0.38649,0.72750
64,0.03888,0.06034,0.07040,0.06208,0.48064,0.38688,0.72809
65,0.03947,0.05768,0.07004,0.06204,0.48001,0.38791,0.72868
66,0.04005,0.06052,0.06999,0.06200,0.47971,0.38830,0.72885
67,0.04063,0.05789,0.06963,0.06196,0.47908,0.38933,0.72944
68,0.04121,0.06062,0.06958,0.06192,0.47814,0.39036,0.72982
69,0.04179,0.05543,0.06954,0.06188,0.47783,0.39075,0.72999
70,0.04237,0.05036,0.06917,0.06184,0.47785,0.39114,0.73037
71,0.04295,0.05050,0.06913,0.06180,0.47754,0.39153,0.73054
72,0.04353,0.04811,0.06909,0.06176,0.47660,0.39255,0.73091
73,0.04411,0.04577,0.06904,0.06172,0.47630,0.39294,0.73108
74,0.04469,0.04347,0.06868,0.06169,0.47631,0.39332,0.73146
