new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
100,0.05945,0.03072,0.06658,0.05595,0.46858,0.40888,0.73975
200,0.11223,0.04055,0.05829,0.04887,0.43951,0.45334,0.76226
300,0.15940,0.03510,0.05369,0.04451,0.40362,0.49819,0.78159
400,0.20182,0.02001,0.04772,0.04060,0.37991,0.53177,0.79806
500,0.24015,0.01700,0.04411,0.03684,0.35213,0.56692,0.81338
600,0.27498,0.00895,0.03894,0.03392,0.33134,0.59580,0.82739
700,0.30675,0.01647,0.03627,0.02943,0.31136,0.62295,0.83961
800,0.33585,0.01912,0.03319,0.02751,0.29258,0.64672,0.85017
900,0.36261,0.02013,0.03078,0.02513,0.27617,0.66792,0.85958
1000,0.38730,0.01927,0.02876,0.02353,0.26121,0.68651,0.86762
1100,0.41014,0.02229,0.02707,0.02127,0.25039,0.70128,0.87444
1200,0.43134,0.02292,0.02533,0.02011,0.23929,0.71527,0.88063
1300,0.45108,0.02773,0.02352,0.01813,0.22693,0.73142,0.88782
1400,0.46948,0.03583,0.02132,0.01698,0.21750,0.74419,0.89395
1500,0.48670,0.03447,0.02062,0.01576,0.20637,0.75725,0.89929
1600,0.50283,0.02971,0.01946,0.01411,0.19724,0.76918,0.90456
1700,0.51798,0.02622,0.01823,0.01351,0.18887,0.77938,0.90897
1800,0.53223,0.02664,0.01738,0.01265,0.18216,0.78780,0.91268
1900,0.54566,0.02636,0.01657,0.01199,0.17431,0.79713,0.91659
2000,0.55835,0.02775,0.01567,0.01136,0.16688,0.80609,0.92038
2100,0.57034,0.02199,0.01440,0.01076,0.16198,0.81286,0.92377
2200,0.58170,0.01557,0.01346,0.00993,0.15517,0.82143,0.92752
2300,0.59248,0.01439,0.01245,0.00927,0.14882,0.82947,0.93108
2400,0.60271,0.01068,0.01174,0.00865,0.14413,0.83548,0.93377
2500,0.61244,0.01135,0.01132,0.00830,0.13738,0.84300,0.93666
2600,0.62171,0.00692,0.01080,0.00773,0.13276,0.84871,0.93918
2700,0.63055,0.00656,0.01030,0.00743,0.12843,0.85384,0.94132
2800,0.63898,0.00455,0.00960,0.00679,0.12415,0.85947,0.94392
2900,0.64703,0.00267,0.00926,0.00652,0.12007,0.86415,0.94579
3000,0.65474,0.00037,0.00906,0.00637,0.11515,0.86942,0.94773
3100,0.66211,0.08055,0.00875,0.00602,0.11134,0.87389,0.94958
3200,0.66918,0.08395,0.00824,0.00567,0.10845,0.87764,0.95128
3300,0.67595,0.08205,0.00786,0.00535,0.10558,0.88121,0.95284
3400,0.68246,0.07824,0.00750,0.00524,0.10097,0.88630,0.95488
3500,0.68871,0.07569,0.00715,0.00513,0.09694,0.89078,0.95664
3600,0.69471,0.07649,0.00661,0.00493,0.09395,0.89450,0.95834
3700,0.70049,0.08275,0.00629,0.00484,0.09174,0.89713,0.95946
3800,0.70606,0.09504,0.00589,0.00475,0.08973,0.89964,0.96060
3900,0.71142,0.09879,0.00568,0.00457,0.08685,0.90290,0.96188
4000,0.71659,0.10015,0.00549,0.00448,0.08409,0.90594,0.96305
4100,0.72158,0.09583,0.00521,0.00422,0.08169,0.90887,0.96430
4200,0.72639,0.09808,0.00512,0.00406,0.07941,0.91140,0.96533
4300,0.73104,0.10484,0.00495,0.00391,0.07830,0.91285,0.96598
4400,0.73554,0.10412,0.00452,0.00384,0.07578,0.91586,0.96729
4500,0.73989,0.10392,0.00436,0.00369,0.07378,0.91816,0.96821
4600,0.74410,0.10494,0.00421,0.00355,0.07159,0.92064,0.96922
4700,0.74817,0.10468,0.00414,0.00349,0.06971,0.92265,0.96998
4800,0.75212,0.10567,0.00408,0.00344,0.06812,0.92436,0.97062
4900,0.75594,0.11136,0.00401,0.00331,0.06597,0.92671,0.97149
5000,0.75965,0.11183,0.00395,0.00318,0.06448,0.92839,0.97213
5100,0.76324,0.11448,0.00382,0.00305,0.06266,0.93047,0.97296
5200,0.76674,0.11671,0.00376,0.00301,0.06082,0.93242,0.97366
5300,0.77012,0.11831,0.00370,0.00296,0.05888,0.93445,0.97439
5400,0.77342,0.11996,0.00365,0.00285,0.05730,0.93620,0.97505
5500,0.77662,0.11977,0.00353,0.00281,0.05599,0.93768,0.97564
5600,0.77973,0.12040,0.00348,0.00277,0.05491,0.93884,0.97608
5700,0.78275,0.12399,0.00343,0.00259,0.05387,0.94011,0.97659
5800,0.78569,0.11677,0.00338,0.00255,0.05189,0.94218,0.97732
