new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
10,0.00628,0.06231,0.07478,0.06552,0.50331,0.35639,0.71407
20,0.01248,0.12651,0.07396,0.06476,0.49901,0.36226,0.71678
30,0.01861,0.06266,0.07348,0.06434,0.49314,0.36904,0.71945
40,0.02466,0.08485,0.07205,0.06394,0.48945,0.37455,0.72246
50,0.03064,0.06389,0.07131,0.06325,0.48629,0.37915,0.72474
60,0.03654,0.07506,0.07086,0.06284,0.48124,0.38506,0.72710
70,0.04237,0.06877,0.07040,0.06148,0.47627,0.39184,0.73006
80,0.04813,0.06268,0.06996,0.06110,0.47262,0.39633,0.73195
90,0.05383,0.05065,0.06858,0.06008,0.47059,0.40075,0.73464
100,0.05945,0.04537,0.06752,0.05971,0.46640,0.40638,0.73730
110,0.06501,0.05514,0.06679,0.05871,0.46381,0.41069,0.73951
120,0.07051,0.06561,0.06638,0.05804,0.45971,0.41587,0.74170
130,0.07593,0.05946,0.06566,0.05738,0.45597,0.42099,0.74406
140,0.08130,0.04655,0.06528,0.05705,0.45027,0.42739,0.74655
150,0.08661,0.02971,0.06489,0.05670,0.44572,0.43269,0.74866
160,0.09185,0.03432,0.06389,0.05636,0.44183,0.43791,0.75114
170,0.09703,0.02440,0.06261,0.05542,0.43889,0.44308,0.75398
180,0.10216,0.03838,0.06224,0.05509,0.43389,0.44878,0.75620
190,0.10722,0.04322,0.06130,0.05449,0.43204,0.45218,0.75816
200,0.11223,0.04212,0.06097,0.05331,0.43034,0.45538,0.75985
210,0.11719,0.03915,0.06032,0.05212,0.42811,0.45944,0.76201
220,0.12209,0.03332,0.05968,0.05095,0.42649,0.46288,0.76394
230,0.12693,0.03575,0.05937,0.05068,0.42137,0.46858,0.76634
240,0.13172,0.03879,0.05874,0.04981,0.41751,0.47394,0.76879
250,0.13646,0.03966,0.05812,0.04953,0.41426,0.47810,0.77066
260,0.14115,0.03783,0.05750,0.04868,0.41133,0.48249,0.77288
270,0.14579,0.03709,0.05719,0.04785,0.40827,0.48669,0.77485
280,0.15038,0.03193,0.05631,0.04702,0.40484,0.49184,0.77739
290,0.15491,0.03747,0.05598,0.04674,0.40274,0.49454,0.77866
300,0.15940,0.04139,0.05540,0.04621,0.39866,0.49972,0.78092
310,0.16385,0.04234,0.05509,0.04568,0.39480,0.50443,0.78285
320,0.16824,0.04362,0.05479,0.04515,0.39097,0.50909,0.78475
330,0.17259,0.04585,0.05422,0.04463,0.38855,0.51260,0.78645
340,0.17690,0.04142,0.05339,0.04440,0.38491,0.51730,0.78863
350,0.18116,0.04433,0.05310,0.04389,0.38120,0.52181,0.79047
360,0.18538,0.04379,0.05256,0.04340,0.37817,0.52588,0.79243
370,0.18955,0.04379,0.05174,0.04290,0.37721,0.52815,0.79387
380,0.19368,0.04735,0.05148,0.04268,0.37477,0.53107,0.79510
390,0.19777,0.04523,0.05068,0.04219,0.37225,0.53489,0.79704
400,0.20182,0.04193,0.05041,0.04196,0.36975,0.53787,0.79827
410,0.20582,0.03963,0.04962,0.04148,0.36781,0.54109,0.80000
420,0.20979,0.04017,0.04937,0.04101,0.36390,0.54572,0.80185
430,0.21372,0.03900,0.04913,0.04055,0.36106,0.54926,0.80335
440,0.21761,0.03886,0.04836,0.03982,0.35868,0.55314,0.80537
450,0.22146,0.03611,0.04734,0.03833,0.35812,0.55621,0.80754
460,0.22527,0.03281,0.04709,0.03711,0.35526,0.56053,0.80952
470,0.22904,0.02900,0.04686,0.03667,0.35192,0.56455,0.81114
480,0.23278,0.03215,0.04662,0.03623,0.35014,0.56701,0.81225
490,0.23649,0.03277,0.04638,0.03605,0.34787,0.56970,0.81335
500,0.24015,0.03126,0.04616,0.03537,0.34621,0.57225,0.81457
510,0.24379,0.03010,0.04544,0.03471,0.34507,0.57478,0.81611
520,0.24738,0.03103,0.04498,0.03454,0.34269,0.57778,0.81747
530,0.25095,0.02590,0.04476,0.03412,0.33902,0.58210,0.81917
540,0.25448,0.02533,0.04406,0.03397,0.33719,0.58479,0.82067
550,0.25797,0.03069,0.04384,0.03355,0.33603,0.58658,0.82153
560,0.26144,0.03247,0.04290,0.03339,0.33415,0.58957,0.82319
570,0.26487,0.03040,0.04269,0.03299,0.33252,0.59180,0.82420
580,0.26827,0.02690,0.04249,0.03235,0.33076,0.59440,0.82548
590,0.27164,0.02872,0.04205,0.03196,0.32989,0.59611,0.82646
600,0.27498,0.03118,0.04185,0.03156,0.32783,0.59876,0.82760
610,0.27828,0.03114,0.04117,0.03070,0.32675,0.60138,0.82919
620,0.28156,0.02715,0.04050,0.03008,0.32425,0.60516,0.83108
630,0.28481,0.02643,0.03985,0.02971,0.32209,0.60835,0.83277
640,0.28803,0.02652,0.03896,0.02934,0.32129,0.61042,0.83416
650,0.29122,0.02466,0.03854,0.02897,0.31908,0.61341,0.83553
660,0.29438,0.02311,0.03743,0.02883,0.31807,0.61567,0.83705
670,0.29751,0.02333,0.03680,0.02870,0.31567,0.61884,0.83856
680,0.30062,0.02237,0.03617,0.02833,0.31421,0.62129,0.83990
690,0.30370,0.02242,0.03577,0.02820,0.31254,0.62348,0.84092
700,0.30675,0.02308,0.03561,0.02808,0.31020,0.62611,0.84194
710,0.30977,0.02106,0.03545,0.02727,0.30841,0.62886,0.84322
720,0.31277,0.02433,0.03529,0.02715,0.30701,0.63054,0.84392
730,0.31574,0.02883,0.03514,0.02703,0.30473,0.63311,0.84491
740,0.31869,0.02842,0.03498,0.02691,0.30202,0.63610,0.84604
750,0.32161,0.02457,0.03482,0.02656,0.30022,0.63839,0.84701
760,0.32451,0.02439,0.03444,0.02600,0.29911,0.64044,0.84812
770,0.32738,0.02314,0.03429,0.02566,0.29646,0.64358,0.84937
780,0.33023,0.02054,0.03370,0.02511,0.29604,0.64515,0.85046
790,0.33305,0.02083,0.03311,0.02500,0.29518,0.64671,0.85139
800,0.33585,0.02073,0.03210,0.02489,0.29476,0.64825,0.85261
810,0.33863,0.02330,0.03196,0.02457,0.29311,0.65036,0.85351
820,0.34138,0.02133,0.03183,0.02447,0.29104,0.65266,0.85440
830,0.34411,0.02152,0.03170,0.02437,0.28898,0.65495,0.85528
840,0.34682,0.02116,0.03135,0.02426,0.28667,0.65772,0.85646
850,0.34951,0.01919,0.03122,0.02395,0.28458,0.66025,0.85748
860,0.35217,0.01751,0.03108,0.02385,0.28209,0.66298,0.85850
870,0.35481,0.01670,0.03095,0.02374,0.28047,0.66483,0.85924
880,0.35743,0.01403,0.03061,0.02364,0.27950,0.66624,0.85996
890,0.36003,0.01585,0.03027,0.02354,0.27728,0.66891,0.86110
900,0.36261,0.01685,0.03015,0.02324,0.27617,0.67044,0.86179
910,0.36517,0.01555,0.02961,0.02314,0.27502,0.67223,0.86277
920,0.36771,0.01539,0.02907,0.02284,0.27346,0.67463,0.86402
930,0.37022,0.01476,0.02896,0.02234,0.27198,0.67673,0.86496
940,0.37272,0.01740,0.02884,0.02225,0.27085,0.67806,0.86551
950,0.37520,0.01708,0.02872,0.02215,0.26892,0.68021,0.86632
960,0.37766,0.01585,0.02860,0.02206,0.26660,0.68274,0.86727
970,0.38009,0.01800,0.02848,0.02197,0.26551,0.68403,0.86780
980,0.38251,0.01853,0.02837,0.02189,0.26328,0.68646,0.86871
990,0.38491,0.01997,0.02806,0.02180,0.26201,0.68813,0.86950
1000,0.38730,0.01996,0.02795,0.02171,0.26055,0.68979,0.87015
1010,0.38966,0.01935,0.02763,0.02163,0.25851,0.69223,0.87119
