new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
1,0.00063,0.13669,0.07621,0.06656,0.50682,0.35042,0.71070
2,0.00126,0.13616,0.07616,0.06651,0.50648,0.35085,0.71089
3,0.00189,0.19326,0.07577,0.06613,0.50715,0.35095,0.71130
4,0.00252,0.17836,0.07572,0.06609,0.50614,0.35204,0.71171
5,0.00315,0.23844,0.07567,0.06605,0.50581,0.35247,0.71189
6,0.00378,0.24952,0.07562,0.06600,0.50547,0.35290,0.71208
7,0.00441,0.20780,0.07557,0.06596,0.50447,0.35399,0.71249
8,0.00503,0.19803,0.07519,0.06592,0.50447,0.35442,0.71289
9,0.00566,0.17104,0.07514,0.06587,0.50414,0.35485,0.71308
10,0.00628,0.13196,0.07476,0.06583,0.50413,0.35528,0.71348
11,0.00691,0.09984,0.07471,0.06545,0.50446,0.35537,0.71367
12,0.00753,0.10193,0.07466,0.06541,0.50413,0.35580,0.71385
13,0.00815,0.09024,0.07461,0.06504,0.50446,0.35589,0.71404
14,0.00877,0.06770,0.07456,0.06500,0.50412,0.35632,0.71422
15,0.00939,0.05967,0.07451,0.06495,0.50313,0.35740,0.71463
16,0.01001,0.05257,0.07446,0.06491,0.50280,0.35783,0.71481
17,0.01063,0.03597,0.07442,0.06487,0.50181,0.35891,0.71521
18,0.01125,0.03083,0.07437,0.06482,0.50148,0.35933,0.71539
19,0.01187,0.01697,0.07432,0.06478,0.50049,0.36041,0.71579
20,0.01248,0.02190,0.07427,0.06474,0.49951,0.36149,0.71619
21,0.01310,0.04295,0.07422,0.06470,0.49918,0.36190,0.71638
22,0.01372,0.05410,0.07417,0.06465,0.49885,0.36232,0.71656
23,0.01433,0.05665,0.07412,0.06461,0.49852,0.36274,0.71674
24,0.01494,0.06603,0.07410,0.06459,0.49836,0.36295,0.71686
25,0.01556,0.06079,0.07405,0.06455,0.49803,0.36337,0.71705
26,0.01617,0.06266,0.07400,0.06451,0.49705,0.36444,0.71744
27,0.01678,0.05785,0.07395,0.06446,0.49673,0.36486,0.71762
28,0.01739,0.04080,0.07292,0.06409,0.49738,0.36560,0.71866
29,0.01800,0.04909,0.07288,0.06373,0.49771,0.36569,0.71884
30,0.01861,0.05094,0.07283,0.06368,0.49739,0.36610,0.71902
31,0.01922,0.03563,0.07278,0.06364,0.49706,0.36651,0.71920
32,0.01983,0.03221,0.07273,0.06360,0.49674,0.36693,0.71938
33,0.02043,0.02363,0.07269,0.06356,0.49641,0.36734,0.71956
34,0.02104,0.03105,0.07264,0.06352,0.49609,0.36775,0.71974
35,0.02165,0.02796,0.07259,0.06348,0.49577,0.36816,0.71992
36,0.02225,0.02500,0.07254,0.06344,0.49545,0.36858,0.72010
37,0.02285,0.03170,0.07250,0.06339,0.49512,0.36899,0.72028
38,0.02346,0.02409,0.07245,0.06335,0.49480,0.36940,0.72046
39,0.02406,0.03043,0.07240,0.06331,0.49448,0.36981,0.72064
40,0.02466,0.01432,0.07236,0.06327,0.49351,0.37086,0.72103
41,0.02526,0.01190,0.07198,0.06323,0.49351,0.37127,0.72142
42,0.02586,0.01378,0.07194,0.06319,0.49320,0.37168,0.72160
43,0.02646,0.02379,0.07189,0.06315,0.49288,0.37209,0.72177
44,0.02706,0.02929,0.07184,0.06311,0.49256,0.37249,0.72195
45,0.02766,0.03454,0.07180,0.06307,0.49224,0.37290,0.72213
46,0.02826,0.02797,0.07143,0.06303,0.49224,0.37330,0.72252
47,0.02885,0.02164,0.07106,0.06266,0.49289,0.37339,0.72290
48,0.02945,0.02295,0.07101,0.06262,0.49193,0.37444,0.72329
49,0.03004,0.02781,0.07097,0.06226,0.49161,0.37516,0.72368
50,0.03064,0.04294,0.07094,0.06224,0.49145,0.37536,0.72380
51,0.03123,0.04021,0.07090,0.06220,0.49114,0.37577,0.72397
52,0.03182,0.03413,0.07053,0.06216,0.49050,0.37681,0.72457
53,0.03242,0.03498,0.07049,0.06212,0.49018,0.37721,0.72474
54,0.03301,0.03248,0.07044,0.06208,0.48922,0.37826,0.72513
55,0.03360,0.03329,0.07040,0.06204,0.48827,0.37930,0.72551
56,0.03419,0.03406,0.07035,0.06200,0.48795,0.37970,0.72568
57,0.03478,0.03477,0.07030,0.06196,0.48764,0.38010,0.72586
58,0.03537,0.03853,0.07026,0.06192,0.48733,0.38049,0.72603
59,0.03595,0.03002,0.07021,0.06188,0.48637,0.38153,0.72641
60,0.03654,0.02773,0.07017,0.06184,0.48606,0.38193,0.72659
61,0.03713,0.02843,0.06980,0.06180,0.48607,0.38232,0.72697
62,0.03771,0.02620,0.06976,0.06176,0.48576,0.38272,0.72714
63,0.03830,0.03256,0.06972,0.06172,0.48545,0.38311,0.72731
64,0.03888,0.03030,0.06903,0.06168,0.48578,0.38351,0.72790
65,0.03947,0.02257,0.06835,0.06164,0.48547,0.38454,0.72870
66,0.04005,0.02049,0.06831,0.06160,0.48452,0.38557,0.72908
67,0.04063,0.01845,0.06826,0.06156,0.48421,0.38596,0.72925
68,0.04121,0.01646,0.06822,0.06152,0.48326,0.38699,0.72963
69,0.04179,0.01190,0.06817,0.06148,0.48232,0.38802,0.73001
70,0.04237,0.01516,0.06813,0.06145,0.48138,0.38905,0.73038
71,0.04295,0.01831,0.06809,0.06141,0.48107,0.38944,0.73055
72,0.04353,0.01386,0.06804,0.06137,0.48076,0.38983,0.73072
73,0.04411,0.01198,0.06800,0.06101,0.48109,0.38990,0.73089
74,0.04469,0.00770,0.06796,0.06097,0.48015,0.39092,0.73127
